year,Wind,Solar,Hydropower,Geothermal
2010,0.084,0.370,0.041,0.048
2011,0.080,0.287,0.040,
2012,0.077,0.221,0.042,0.083
2013,0.080,0.175,0.045,0.06
2014,0.075,0.165,0.037,0.062
2015,0.067,0.133,0.041,0.059
2016,0.065,0.119,0.053,0.068
2017,0.064,0.097,0.055,0.073
2018,0.055,0.085,0.048,0.072
